Timestamp,CPU,Memory
1766445832.542932,0.08%,81.89MiB
1766445835.0792289,3.34%,81.91MiB
1766445837.0718641,33.38%,183.8MiB
1766445839.083592,38.08%,270.1MiB
1766445841.0920162,35.57%,353.5MiB
1766445843.096193,33.31%,426.1MiB
1766445845.2804322,41.95%,495MiB
1766445847.137408,39.49%,585.9MiB
1766445849.148881,47.56%,668.9MiB
1766445851.161122,48.12%,752MiB
1766445853.162529,45.85%,842MiB
1766445855.169173,53.72%,921.4MiB
1766445857.175061,43.34%,1002MiB
1766445859.183415,43.03%,1.059GiB
1766445861.19178,31.75%,1.109GiB
1766445863.2177122,199.21%,1.246GiB
1766445865.214454,209.89%,1.306GiB
1766445867.2220008,200.64%,1.374GiB
1766445869.2379708,199.26%,1.424GiB
1766445871.235696,201.31%,1.472GiB
1766445873.242163,199.37%,1.571GiB
1766445875.250308,204.23%,1.813GiB
1766445877.2514272,199.76%,1.845GiB
1766445879.263783,199.46%,1.845GiB
1766445881.266911,200.29%,1.846GiB
1766445883.2804961,199.42%,1.846GiB
1766445885.281,202.86%,1.847GiB
1766445887.287413,199.94%,1.847GiB
1766445889.2966678,199.82%,1.981GiB
1766445891.3027241,199.24%,2.07GiB
1766445893.306113,199.76%,2.07GiB
1766445895.318145,202.98%,2.07GiB
1766445897.32142,200.11%,2.07GiB
1766445899.332313,200.04%,2.071GiB
1766445901.335465,200.56%,2.279GiB
1766445903.341714,199.74%,2.372GiB
1766445905.342378,204.61%,2.508GiB
1766445907.350878,200.43%,2.59GiB
1766445909.360425,199.76%,2.606GiB
1766445911.365195,199.46%,2.611GiB
1766445913.368236,100.92%,2.367GiB
1766445915.3804648,158.71%,2.106GiB
1766445917.389303,259.35%,2.105GiB
