Timestamp,CPU,Memory
1766445939.024151,1.51%,4.459GiB
1766445941.5345652,139.79%,4.485GiB
1766445943.525707,248.57%,4.505GiB
1766445945.534644,191.63%,4.521GiB
1766445947.546946,132.51%,4.53GiB
1766445949.55134,188.95%,4.544GiB
1766445951.552875,201.32%,4.549GiB
1766445953.556994,153.01%,4.551GiB
1766445955.561595,124.88%,4.56GiB
1766445957.574631,101.43%,4.562GiB
1766445959.577787,129.95%,4.565GiB
1766445961.583053,172.44%,4.566GiB
1766445963.585922,176.01%,4.569GiB
1766445965.596422,114.08%,4.569GiB
1766445967.608448,101.54%,4.571GiB
1766445969.6192589,99.29%,4.573GiB
1766445971.623786,183.77%,4.576GiB
1766445973.6329842,152.03%,4.579GiB
1766445975.637555,103.42%,4.581GiB
1766445977.644821,135.23%,4.583GiB
1766445979.656975,208.62%,4.586GiB
1766445981.659893,263.02%,4.602GiB
1766445983.6647732,180.22%,4.592GiB
1766445985.6743731,132.29%,4.596GiB
1766445987.6852102,97.61%,4.595GiB
1766445989.692024,98.79%,4.597GiB
1766445991.6976151,107.59%,4.598GiB
1766445993.700522,122.32%,4.6GiB
1766445995.701376,153.01%,4.601GiB
1766445997.718388,169.95%,4.603GiB
1766445999.7209759,103.65%,4.605GiB
1766446001.7245219,172.79%,4.609GiB
1766446003.72302,101.20%,4.595GiB
1766446005.729387,102.12%,4.598GiB
1766446007.738034,98.82%,4.6GiB
1766446009.746203,115.08%,4.603GiB
1766446011.7517881,196.09%,4.605GiB
1766446013.7550871,212.27%,4.608GiB
1766446015.7600589,224.57%,4.633GiB
1766446017.77069,103.69%,4.678GiB
1766446019.776705,120.44%,4.679GiB
1766446021.790608,141.86%,4.681GiB
1766446023.7884958,190.64%,4.683GiB
1766446025.7987761,117.16%,4.685GiB
1766446027.802963,98.09%,4.688GiB
1766446029.813866,197.10%,4.705GiB
1766446031.824283,151.97%,4.726GiB
1766446033.8385658,99.17%,4.727GiB
1766446035.839367,101.19%,4.747GiB
1766446037.858989,162.03%,4.747GiB
1766446039.8645408,229.40%,4.781GiB
1766446041.8693051,173.19%,4.782GiB
1766446043.872042,179.79%,4.782GiB
1766446045.8804579,208.60%,4.69GiB
1766446047.905109,121.62%,4.69GiB
1766446049.908295,96.37%,4.69GiB
1766446051.912493,128.32%,4.789GiB
1766446053.922148,103.17%,4.793GiB
1766446055.929464,102.94%,4.827GiB
1766446057.9437902,100.74%,4.864GiB
1766446059.9490628,93.14%,4.941GiB
1766446061.95402,102.80%,4.969GiB
1766446063.959296,110.20%,4.971GiB
1766446065.964818,102.79%,4.985GiB
1766446067.972472,100.29%,5.01GiB
1766446069.979143,104.58%,5.012GiB
1766446071.9864461,103.36%,5.377GiB
1766446073.996029,191.03%,4.637GiB
