Timestamp,CPU,Memory
1766441855.586339,1.08%,4.458GiB
1766441858.1053271,2.68%,4.459GiB
1766441860.108916,152.44%,4.503GiB
1766441862.119704,117.48%,4.504GiB
1766441864.130208,113.54%,4.5GiB
1766441866.135595,102.99%,4.502GiB
1766441868.144274,118.64%,4.503GiB
1766441870.147037,119.73%,4.505GiB
1766441872.1586392,95.72%,4.508GiB
1766441874.160453,95.90%,4.509GiB
1766441876.1638331,100.86%,4.514GiB
1766441878.167729,97.05%,4.515GiB
1766441880.176064,100.85%,4.517GiB
1766441882.180334,99.11%,4.517GiB
1766441884.1920981,95.51%,4.519GiB
1766441886.1973078,96.03%,4.52GiB
1766441888.206249,97.67%,4.522GiB
1766441890.214599,95.83%,4.523GiB
1766441892.2218618,94.44%,4.524GiB
1766441894.228089,96.43%,4.526GiB
1766441896.235383,99.01%,4.526GiB
1766441898.239947,96.78%,4.528GiB
1766441900.246861,97.88%,4.529GiB
1766441902.2503932,97.54%,4.53GiB
1766441904.2801762,201.55%,4.561GiB
1766441906.271839,140.21%,4.567GiB
1766441908.273651,101.92%,4.569GiB
1766441910.287501,123.89%,4.589GiB
1766441912.2890081,21.27%,4.568GiB
1766441914.3180978,2.14%,4.554GiB
1766441916.330652,9.52%,4.554GiB
1766441918.330782,3.61%,4.555GiB
1766441920.347523,1.69%,4.554GiB
1766441922.359334,1.57%,4.554GiB
1766441924.378567,2.01%,4.554GiB
1766441926.390203,1.87%,4.554GiB
1766441928.402241,1.73%,4.555GiB
1766441930.418033,2.75%,4.556GiB
1766441932.440181,2.52%,4.555GiB
1766441934.452356,1.72%,4.555GiB
1766441936.461819,1.82%,4.555GiB
1766441938.4737978,3.35%,4.555GiB
1766441940.481301,4.85%,4.557GiB
1766441942.5093,2.22%,4.557GiB
1766441944.5137331,1.80%,4.557GiB
1766441946.527183,2.35%,4.557GiB
1766441948.538084,2.93%,4.557GiB
1766441950.5575738,2.21%,4.557GiB
1766441952.580221,2.90%,4.557GiB
1766441954.614902,2.43%,4.557GiB
1766441956.629538,1.66%,4.557GiB
1766441958.642045,2.76%,4.557GiB
1766441960.657332,1.98%,4.558GiB
1766441962.678626,2.54%,4.557GiB
1766441964.6930501,1.65%,4.557GiB
1766441966.7069309,2.33%,4.557GiB
1766441968.722765,2.42%,4.558GiB
1766441970.73838,1.47%,4.558GiB
1766441972.75614,99.74%,4.57GiB
