Timestamp,CPU,Memory
1766484898.150669,0.12%,88.63MiB
1766484900.635818,4.77%,88.65MiB
1766484902.6402051,36.75%,179.2MiB
1766484904.651774,36.24%,265.2MiB
1766484906.655411,39.19%,350.6MiB
1766484908.6571321,31.49%,430.7MiB
1766484910.660697,41.09%,511.5MiB
1766484912.669012,37.30%,592.6MiB
1766484914.6890519,46.20%,675.9MiB
1766484916.688482,48.01%,758.8MiB
1766484918.694114,44.73%,841.7MiB
1766484920.704073,47.28%,925MiB
1766484922.712182,46.03%,1009MiB
1766484924.7271838,40.95%,1.066GiB
1766484926.7284951,28.64%,1.116GiB
1766484928.748383,200.41%,1.249GiB
1766484930.7481139,203.45%,1.313GiB
1766484932.7534878,199.78%,1.38GiB
1766484934.765462,201.01%,1.428GiB
1766484936.768529,200.16%,1.479GiB
1766484938.7781172,199.55%,1.595GiB
1766484940.782356,201.78%,1.849GiB
1766484942.8510568,200.51%,1.849GiB
1766484944.8854241,200.44%,1.849GiB
1766484946.891392,200.11%,1.85GiB
1766484948.894507,199.74%,1.85GiB
1766484950.904902,202.96%,1.851GiB
1766484952.908465,199.68%,1.852GiB
1766484954.920528,199.92%,1.923GiB
1766484956.921118,199.46%,2.076GiB
1766484958.930582,200.02%,2.076GiB
1766484960.934422,203.27%,2.076GiB
1766484962.9374158,198.89%,2.077GiB
1766484964.949882,200.21%,2.077GiB
1766484966.955061,200.05%,2.278GiB
1766484968.956619,199.71%,2.366GiB
1766484970.9656131,202.01%,2.512GiB
1766484972.969685,221.35%,2.593GiB
1766484974.998285,199.22%,2.61GiB
1766484977.001573,199.90%,2.617GiB
1766484979.009866,100.57%,2.366GiB
1766484981.023226,93.32%,2.169GiB
