Timestamp,CPU,Memory
1766609638.263222,0.14%,109.9MiB
1766609640.7801442,11.31%,134.5MiB
1766609642.802366,43.81%,212.5MiB
1766609644.811876,31.91%,292.1MiB
1766609646.839658,33.11%,360MiB
1766609648.8432739,39.98%,440.8MiB
1766609650.867179,35.78%,503.8MiB
1766609652.891403,51.34%,572.6MiB
1766609654.9023519,38.05%,648.4MiB
1766609656.908467,54.73%,714.3MiB
1766609658.9141152,51.04%,789.9MiB
1766609660.932668,69.01%,866.7MiB
1766609662.940429,43.89%,939.1MiB
1766609664.952251,46.56%,1007MiB
1766609666.962294,72.32%,1.055GiB
1766609668.972897,72.70%,1.119GiB
1766609670.979965,56.81%,1.178GiB
1766609672.996848,49.40%,1.219GiB
1766609675.0129,44.10%,1.264GiB
1766609677.0187619,79.60%,1.303GiB
1766609679.0335119,49.10%,1.345GiB
1766609681.0353851,72.52%,1.386GiB
1766609683.068416,55.72%,1.431GiB
1766609685.069407,56.05%,1.472GiB
1766609687.1311412,77.40%,1.512GiB
1766609689.082873,100.40%,1.563GiB
1766609691.16744,116.38%,1.615GiB
1766609693.2678988,206.61%,1.699GiB
1766609695.268385,310.99%,1.735GiB
1766609697.6422558,274.35%,1.759GiB
1766609699.538811,216.68%,1.826GiB
1766609701.539426,205.98%,1.881GiB
1766609703.5844858,218.12%,1.923GiB
1766609705.583835,215.36%,1.989GiB
1766609707.596374,228.03%,2.078GiB
1766609709.642517,238.80%,2.117GiB
1766609711.649499,304.38%,2.14GiB
1766609713.7058282,204.57%,2.164GiB
1766609715.719588,224.11%,2.267GiB
1766609717.739857,213.38%,2.501GiB
1766609719.753309,203.05%,2.512GiB
1766609721.774004,209.69%,2.512GiB
1766609723.779584,203.39%,2.512GiB
1766609725.792373,210.13%,2.516GiB
1766609727.796048,203.86%,2.517GiB
1766609729.803467,202.59%,2.518GiB
1766609731.814294,210.36%,2.518GiB
1766609733.819308,207.88%,2.519GiB
1766609735.831106,211.98%,2.519GiB
1766609737.8315651,205.89%,2.596GiB
1766609739.8825421,209.51%,2.872GiB
1766609741.890889,217.41%,2.891GiB
1766609743.9138079,209.97%,2.994GiB
1766609745.918907,215.86%,3.1GiB
1766609747.92693,202.58%,3.148GiB
1766609749.9534101,203.77%,3.167GiB
1766609751.966317,131.17%,2.844GiB
1766609753.973378,101.56%,2.856GiB
1766609755.979923,163.47%,2.9GiB
1766609758.005882,103.45%,2.912GiB
1766609760.000515,100.87%,2.977GiB
1766609762.008168,101.51%,3.04GiB
1766609764.015497,100.87%,3.095GiB
1766609766.0682418,105.95%,3.159GiB
1766609768.025197,105.74%,3.207GiB
1766609770.0572789,103.75%,3.238GiB
1766609772.062743,102.12%,3.344GiB
1766609774.09804,103.45%,3.445GiB
1766609776.1052659,102.79%,3.118GiB
1766609778.117907,234.27%,2.762GiB
1766609780.118161,267.44%,2.76GiB
1766609782.124845,249.06%,2.764GiB
1766609784.138274,259.47%,2.762GiB
1766609786.142831,255.61%,2.757GiB
1766609788.1452181,253.02%,2.758GiB
1766609790.1530979,245.22%,2.762GiB
1766609792.157602,263.68%,2.758GiB
1766609794.164098,269.49%,2.758GiB
1766609796.181133,267.05%,2.759GiB
1766609798.211405,406.88%,2.757GiB
1766609800.21857,259.72%,2.757GiB
1766609802.272133,249.70%,2.762GiB
1766609804.2290518,258.19%,2.757GiB
1766609806.237984,262.02%,2.762GiB
1766609808.237798,261.98%,2.761GiB
1766609810.2496178,278.08%,2.763GiB
1766609812.253498,245.76%,2.756GiB
1766609814.2609122,245.86%,2.764GiB
1766609816.2648199,236.65%,2.759GiB
