Timestamp,CPU,Memory
1766485001.1299682,1.69%,4.465GiB
1766485003.64575,3.84%,4.466GiB
1766485005.654829,276.11%,4.505GiB
1766485007.662679,135.08%,4.512GiB
1766485009.6681888,295.84%,4.529GiB
1766485011.674572,151.61%,4.537GiB
1766485013.6858299,115.75%,4.533GiB
1766485015.71627,135.73%,4.536GiB
1766485017.698078,179.13%,4.537GiB
1766485019.7070808,169.79%,4.54GiB
1766485021.70749,114.26%,4.541GiB
1766485023.716813,100.89%,4.542GiB
1766485025.7268229,144.60%,4.544GiB
1766485027.7285929,179.29%,4.546GiB
1766485029.732811,128.31%,4.549GiB
1766485031.7396102,109.35%,4.55GiB
1766485033.7435331,104.84%,4.553GiB
1766485035.7573252,165.58%,4.555GiB
1766485037.760562,133.97%,4.558GiB
1766485039.7721741,106.38%,4.56GiB
1766485041.7794392,218.11%,4.563GiB
1766485043.7907279,169.60%,4.565GiB
1766485045.798402,211.20%,4.582GiB
1766485047.8075898,169.57%,4.574GiB
1766485049.807185,160.08%,4.571GiB
1766485051.821826,181.99%,4.573GiB
1766485053.8202791,177.96%,4.574GiB
1766485055.8270469,139.03%,4.576GiB
1766485057.835649,126.60%,4.578GiB
1766485059.8411798,139.70%,4.579GiB
1766485061.8407109,100.55%,4.58GiB
1766485063.850933,146.16%,4.581GiB
1766485065.85498,155.67%,4.569GiB
1766485067.858558,123.50%,4.57GiB
1766485069.872096,107.27%,4.571GiB
1766485071.873746,100.72%,4.574GiB
1766485073.883512,103.05%,4.576GiB
1766485075.8917189,123.43%,4.578GiB
1766485077.894455,174.88%,4.58GiB
1766485079.9082398,175.98%,4.584GiB
1766485081.90659,163.35%,4.586GiB
1766485083.911113,160.53%,4.587GiB
1766485085.924065,245.15%,4.588GiB
1766485087.929926,188.59%,4.589GiB
1766485089.941222,99.70%,4.59GiB
1766485091.947468,97.96%,4.59GiB
1766485093.9527922,100.58%,4.593GiB
1766485095.957315,134.55%,4.596GiB
1766485097.9582589,97.97%,4.597GiB
1766485099.9751291,216.91%,4.6GiB
1766485101.981308,101.77%,4.601GiB
1766485103.994199,196.15%,4.602GiB
1766485106.011564,149.81%,4.604GiB
1766485108.022766,253.75%,4.606GiB
1766485110.0325508,167.82%,4.607GiB
1766485112.0419579,260.80%,4.61GiB
1766485114.051857,98.93%,4.599GiB
1766485116.071336,157.75%,4.601GiB
1766485118.0847821,99.55%,4.601GiB
1766485120.109073,160.48%,4.603GiB
1766485122.1176262,98.59%,4.603GiB
1766485124.130222,146.31%,4.605GiB
1766485126.147862,98.10%,4.584GiB
1766485128.1606011,124.15%,4.587GiB
1766485130.171801,119.53%,4.613GiB
1766485132.171552,105.49%,4.618GiB
1766485134.186432,106.91%,4.625GiB
1766485136.190845,102.92%,4.629GiB
1766485138.1994722,99.35%,4.674GiB
1766485140.208616,103.48%,4.738GiB
1766485142.22107,103.92%,4.802GiB
1766485144.215384,103.10%,4.893GiB
1766485146.2274392,100.66%,4.908GiB
1766485148.232617,99.56%,4.948GiB
