Timestamp,CPU,Memory
1766485800.698814,1.86%,4.451GiB
1766485803.214271,3.59%,4.452GiB
1766485805.2202408,287.76%,4.508GiB
1766485807.232886,190.84%,4.512GiB
1766485809.2368798,280.03%,4.535GiB
1766485811.2412329,229.58%,4.55GiB
1766485813.2500858,116.73%,4.553GiB
1766485815.2579021,100.95%,4.55GiB
1766485817.260145,176.81%,4.552GiB
1766485819.2680361,190.19%,4.554GiB
1766485821.2790542,141.53%,4.556GiB
1766485823.28644,126.98%,4.556GiB
1766485825.297247,117.08%,4.557GiB
1766485827.300321,205.39%,4.56GiB
1766485829.304489,108.12%,4.561GiB
1766485831.308235,97.20%,4.561GiB
1766485833.312124,113.37%,4.564GiB
1766485835.320707,151.93%,4.568GiB
1766485837.3287559,101.77%,4.569GiB
1766485839.3370838,83.83%,4.571GiB
1766485841.337315,207.00%,4.574GiB
1766485843.349312,173.34%,4.576GiB
1766485845.3564448,178.02%,4.578GiB
1766485847.3598778,169.39%,4.575GiB
1766485849.363574,191.75%,4.578GiB
1766485851.375704,100.03%,4.581GiB
1766485853.381804,157.61%,4.581GiB
1766485855.396638,163.23%,4.583GiB
1766485857.4115689,96.76%,4.583GiB
1766485859.413236,197.25%,4.584GiB
1766485861.417054,141.27%,4.586GiB
1766485863.4258611,101.28%,4.586GiB
1766485865.436648,178.69%,4.574GiB
1766485867.441545,147.46%,4.576GiB
1766485869.4473941,97.42%,4.577GiB
1766485871.4520042,198.70%,4.579GiB
1766485873.468422,154.20%,4.578GiB
1766485875.478822,137.53%,4.579GiB
1766485877.476614,99.63%,4.582GiB
1766485879.483009,160.22%,4.585GiB
1766485881.4996412,125.25%,4.587GiB
1766485883.496456,124.78%,4.588GiB
1766485885.516305,187.20%,4.592GiB
1766485887.549649,101.32%,4.592GiB
1766485889.541323,250.89%,4.593GiB
1766485891.5463529,160.30%,4.597GiB
1766485893.5478148,197.59%,4.603GiB
1766485895.592875,138.09%,4.595GiB
1766485897.578889,119.19%,4.597GiB
1766485899.593167,96.85%,4.597GiB
1766485901.599642,106.25%,4.599GiB
1766485903.613206,99.77%,4.601GiB
1766485905.620328,142.78%,4.604GiB
1766485907.619156,98.55%,4.605GiB
1766485909.625908,124.28%,4.607GiB
1766485911.6404219,163.96%,4.609GiB
1766485913.6472902,99.91%,4.61GiB
1766485915.654911,194.28%,4.612GiB
1766485917.6629791,201.78%,4.615GiB
1766485919.6709352,152.05%,4.616GiB
1766485921.677996,211.14%,4.648GiB
1766485923.6983218,150.54%,4.635GiB
1766485925.705973,94.84%,4.59GiB
1766485927.7134268,162.73%,4.592GiB
1766485929.720462,99.44%,4.611GiB
1766485931.7249029,105.62%,4.617GiB
1766485933.7297869,107.05%,4.622GiB
1766485935.741856,100.42%,4.626GiB
1766485937.747326,100.04%,4.632GiB
1766485939.752018,101.07%,4.688GiB
1766485941.759628,113.30%,4.75GiB
1766485943.762182,100.40%,4.814GiB
1766485945.776095,101.30%,4.848GiB
1766485947.7881038,100.06%,4.883GiB
1766485949.7892811,69.65%,5.063GiB
1766485951.8106,199.94%,4.636GiB
