Timestamp,CPU,Memory
1766675300.133446,0.89%,4.461GiB
1766675302.655709,3.54%,4.461GiB
1766675304.6538439,288.64%,4.496GiB
1766675306.697056,226.25%,4.505GiB
1766675308.710294,132.33%,4.515GiB
1766675310.7191172,117.73%,4.517GiB
1766675312.729707,106.45%,4.518GiB
1766675314.732337,110.48%,4.524GiB
1766675316.740798,278.12%,4.544GiB
1766675318.752019,200.66%,4.554GiB
1766675320.761562,112.85%,4.553GiB
1766675322.76442,115.79%,4.556GiB
1766675324.761618,170.32%,4.563GiB
1766675326.771456,96.58%,4.565GiB
1766675328.786334,110.42%,4.568GiB
1766675330.791863,168.05%,4.57GiB
1766675332.797996,149.49%,4.572GiB
1766675334.83636,98.63%,4.571GiB
1766675336.8955631,97.58%,4.573GiB
1766675338.874996,167.24%,4.575GiB
1766675340.8781598,113.65%,4.574GiB
1766675342.886336,103.73%,4.576GiB
1766675344.888615,105.35%,4.578GiB
1766675346.894971,173.62%,4.58GiB
1766675348.899986,125.36%,4.579GiB
1766675350.915518,101.80%,4.58GiB
1766675352.921599,98.50%,4.583GiB
1766675354.9286022,160.72%,4.584GiB
1766675356.9371421,112.02%,4.584GiB
1766675358.942944,94.55%,4.587GiB
1766675360.948847,159.80%,4.588GiB
1766675362.9515278,101.89%,4.587GiB
1766675364.96051,103.79%,4.577GiB
1766675366.967944,125.28%,4.579GiB
1766675368.976177,126.97%,4.582GiB
1766675370.9798121,95.89%,4.583GiB
1766675372.985853,99.30%,4.585GiB
1766675374.990744,161.62%,4.587GiB
1766675376.998107,140.79%,4.589GiB
1766675379.006424,99.16%,4.587GiB
1766675381.0292952,102.27%,4.589GiB
1766675383.030247,156.61%,4.591GiB
1766675385.034728,131.62%,4.593GiB
1766675387.070682,101.17%,4.592GiB
1766675389.0727448,133.81%,4.593GiB
1766675391.0785868,129.41%,4.595GiB
1766675393.0838761,99.25%,4.596GiB
1766675395.084956,80.64%,4.597GiB
1766675397.0951319,101.63%,4.598GiB
1766675399.1348329,99.14%,4.6GiB
1766675401.1367848,103.57%,4.602GiB
1766675403.150074,98.42%,4.605GiB
1766675405.156309,121.92%,4.606GiB
1766675407.1618528,135.52%,4.609GiB
1766675409.172174,118.73%,4.608GiB
1766675411.174886,97.49%,4.61GiB
1766675413.182399,111.44%,4.612GiB
1766675415.187697,157.33%,4.614GiB
1766675417.188145,120.40%,4.614GiB
1766675419.1953752,100.88%,4.615GiB
1766675421.2032452,141.71%,4.618GiB
1766675423.219072,142.21%,4.62GiB
1766675425.223101,131.35%,4.611GiB
1766675427.2287822,141.91%,4.614GiB
1766675429.23573,143.77%,4.616GiB
1766675431.242798,110.22%,4.618GiB
1766675433.25295,132.47%,4.62GiB
1766675435.254359,192.11%,4.623GiB
1766675437.261112,178.51%,4.626GiB
1766675439.282783,132.13%,4.625GiB
1766675441.269422,141.60%,4.627GiB
1766675443.2731771,178.56%,4.63GiB
1766675445.2768939,185.46%,4.632GiB
1766675447.28243,130.15%,4.632GiB
1766675449.2893991,158.89%,4.634GiB
1766675451.2945101,123.29%,4.637GiB
1766675453.3009799,167.08%,4.638GiB
1766675455.310365,184.02%,4.638GiB
1766675457.316499,215.95%,4.65GiB
1766675459.3805408,171.17%,4.658GiB
1766675461.380954,182.20%,4.61GiB
1766675463.421567,316.57%,4.629GiB
1766675465.448413,133.47%,4.634GiB
1766675467.450439,110.76%,4.636GiB
1766675469.4643,124.68%,4.637GiB
1766675471.5444322,242.28%,4.655GiB
1766675473.52035,178.27%,4.657GiB
1766675475.5390348,247.87%,4.659GiB
1766675477.540332,95.97%,4.658GiB
1766675479.551001,180.87%,4.66GiB
1766675481.557874,81.65%,4.66GiB
1766675483.559083,194.32%,4.661GiB
1766675485.567532,96.82%,4.662GiB
1766675487.578767,145.52%,4.663GiB
1766675489.6446059,88.13%,4.663GiB
1766675491.648549,165.32%,4.663GiB
1766675493.698387,206.95%,4.665GiB
1766675495.711113,95.01%,4.667GiB
1766675497.7507882,111.60%,4.667GiB
1766675499.736212,90.94%,4.669GiB
1766675501.740482,101.22%,4.67GiB
1766675503.796306,177.26%,4.671GiB
1766675505.808661,105.45%,4.672GiB
1766675507.8139231,96.98%,4.673GiB
1766675509.8169448,188.96%,4.675GiB
1766675511.83216,100.63%,4.675GiB
1766675513.847561,112.10%,4.677GiB
1766675515.892104,102.78%,4.677GiB
1766675517.8883069,117.18%,4.678GiB
1766675519.8953118,172.41%,4.68GiB
1766675521.914227,114.08%,4.668GiB
1766675523.9128141,96.32%,4.669GiB
1766675525.927199,185.04%,4.671GiB
1766675527.936874,98.25%,4.672GiB
1766675529.940938,104.83%,4.673GiB
1766675531.9477,97.20%,4.675GiB
1766675533.9614358,103.03%,4.675GiB
1766675535.967337,205.54%,4.677GiB
1766675537.985791,96.52%,4.677GiB
1766675539.997943,106.64%,4.678GiB
1766675541.996695,149.87%,4.68GiB
1766675544.008885,96.55%,4.68GiB
1766675546.024556,148.88%,4.681GiB
1766675548.0229719,102.24%,4.682GiB
1766675550.048668,107.05%,4.682GiB
1766675552.1042712,162.68%,4.685GiB
1766675554.09516,94.71%,4.684GiB
1766675556.119714,149.60%,4.686GiB
1766675558.140616,144.21%,4.687GiB
1766675560.142625,119.86%,4.687GiB
1766675562.152128,161.64%,4.689GiB
1766675564.156225,163.72%,4.69GiB
1766675566.156372,169.26%,4.692GiB
1766675568.257271,160.70%,4.693GiB
1766675570.261464,176.71%,4.695GiB
1766675572.279066,199.29%,4.697GiB
1766675574.2923148,216.42%,4.698GiB
1766675576.293795,217.12%,4.7GiB
1766675578.343168,104.40%,4.701GiB
1766675580.337953,126.52%,4.702GiB
1766675582.347003,65.37%,4.702GiB
1766675584.352522,39.94%,4.703GiB
1766675586.360589,37.02%,4.704GiB
1766675588.377642,152.19%,4.715GiB
1766675590.378582,138.72%,5.25GiB
1766675592.412514,105.38%,5.254GiB
1766675594.4185631,101.63%,5.258GiB
1766675596.423798,101.92%,5.263GiB
1766675598.4345448,101.71%,5.267GiB
1766675600.4415739,102.26%,5.27GiB
1766675602.442657,101.82%,5.273GiB
1766675604.456722,90.15%,5.906GiB
1766675606.4633338,112.97%,5.961GiB
1766675608.501719,101.01%,5.981GiB
1766675610.508118,99.78%,5.987GiB
1766675612.536639,107.68%,6.056GiB
1766675614.5380008,148.61%,6.389GiB
1766675616.634733,104.21%,6.431GiB
1766675618.635865,108.32%,6.775GiB
1766675620.640613,102.99%,6.776GiB
1766675622.652402,147.04%,6.779GiB
1766675624.6617868,99.72%,6.779GiB
1766675626.669183,105.85%,6.781GiB
1766675628.6796238,106.60%,6.783GiB
1766675630.7198348,86.95%,6.893GiB
1766675632.73026,108.40%,6.893GiB
1766675634.736041,135.14%,4.667GiB
1766675636.741696,400.36%,4.687GiB
1766675638.764587,383.60%,4.687GiB
1766675640.771303,446.42%,4.696GiB
1766675642.777517,428.04%,4.7GiB
