Timestamp,CPU,Memory
1766485489.9751291,1.02%,4.457GiB
1766485492.5131898,1.78%,4.458GiB
1766485494.4979148,301.20%,4.495GiB
1766485496.504533,165.91%,4.509GiB
1766485498.512238,337.44%,4.525GiB
1766485500.519391,121.84%,4.531GiB
1766485502.523051,108.28%,4.537GiB
1766485504.5284019,158.74%,4.529GiB
1766485506.531626,199.25%,4.533GiB
1766485508.541767,147.09%,4.534GiB
1766485510.547325,105.09%,4.535GiB
1766485512.5526059,100.39%,4.536GiB
1766485514.559042,157.29%,4.538GiB
1766485516.562861,170.35%,4.541GiB
1766485518.5711098,110.25%,4.543GiB
1766485520.574369,99.01%,4.543GiB
1766485522.581911,99.55%,4.546GiB
1766485524.5848901,178.56%,4.55GiB
1766485526.591035,140.90%,4.552GiB
1766485528.591991,96.03%,4.554GiB
1766485530.604717,134.16%,4.557GiB
1766485532.607668,250.66%,4.561GiB
1766485534.613914,226.11%,4.566GiB
1766485536.6184351,113.89%,4.567GiB
1766485538.620638,98.05%,4.563GiB
1766485540.629427,99.22%,4.566GiB
1766485542.630312,98.42%,4.567GiB
1766485544.6426399,72.94%,4.569GiB
1766485546.647011,171.75%,4.57GiB
1766485548.659476,168.19%,4.573GiB
1766485550.66659,130.71%,4.574GiB
1766485552.67951,110.56%,4.574GiB
1766485554.703848,111.21%,4.561GiB
1766485556.690727,156.56%,4.565GiB
1766485558.701697,102.66%,4.567GiB
1766485560.706793,138.55%,4.569GiB
1766485562.708246,192.34%,4.572GiB
1766485564.720397,105.47%,4.574GiB
1766485566.722882,158.33%,4.575GiB
1766485568.730473,165.35%,4.578GiB
1766485570.7380211,215.96%,4.585GiB
1766485572.7451332,173.75%,4.583GiB
1766485574.749404,115.78%,4.585GiB
1766485576.7557561,95.58%,4.585GiB
1766485578.7655602,144.27%,4.586GiB
1766485580.770318,186.57%,4.588GiB
1766485582.7807329,148.42%,4.59GiB
1766485584.784041,96.90%,4.589GiB
1766485586.800489,121.20%,4.592GiB
1766485588.804873,100.16%,4.594GiB
1766485590.809969,160.83%,4.598GiB
1766485592.815989,102.21%,4.599GiB
1766485594.8402328,114.57%,4.6GiB
1766485596.851989,187.94%,4.603GiB
1766485598.850395,102.23%,4.604GiB
1766485600.8591108,170.69%,4.606GiB
1766485602.8661902,224.20%,4.609GiB
1766485604.875741,162.38%,4.61GiB
1766485606.8830678,291.74%,4.623GiB
1766485608.8989499,118.33%,4.6GiB
1766485610.902158,129.50%,4.607GiB
1766485612.917432,101.89%,4.612GiB
1766485614.917655,103.03%,4.615GiB
1766485616.9319181,100.04%,4.636GiB
1766485618.937069,121.13%,4.655GiB
1766485620.946926,102.13%,4.661GiB
1766485622.9503639,103.46%,4.663GiB
1766485624.955698,100.38%,4.665GiB
1766485626.9627252,105.70%,4.671GiB
1766485628.9660878,45.57%,4.966GiB
