Timestamp,CPU,Memory
1766675124.28847,3.79%,110MiB
1766675126.821375,5.94%,110MiB
1766675128.8009741,46.31%,192.2MiB
1766675130.834852,50.33%,264.4MiB
1766675132.836768,34.75%,338.1MiB
1766675134.8479,49.98%,407.5MiB
1766675136.89269,53.05%,472.4MiB
1766675138.902572,34.88%,546MiB
1766675140.973484,49.65%,617.7MiB
1766675142.9162161,51.71%,685.7MiB
1766675144.927094,49.45%,746.9MiB
1766675146.931773,50.98%,823.1MiB
1766675148.9490821,54.47%,897MiB
1766675150.951657,41.18%,967.2MiB
1766675152.958175,61.86%,1.006GiB
1766675155.019371,72.37%,1.058GiB
1766675157.019588,68.50%,1.12GiB
1766675159.035586,72.94%,1.175GiB
1766675161.0678458,54.00%,1.213GiB
1766675163.067532,63.98%,1.254GiB
1766675165.123562,48.47%,1.295GiB
1766675167.127368,56.14%,1.338GiB
1766675169.141471,215.58%,1.367GiB
1766675171.157566,55.23%,1.408GiB
1766675173.2130299,89.19%,1.454GiB
1766675175.2163498,73.32%,1.488GiB
1766675177.2267761,70.81%,1.525GiB
1766675179.230637,79.92%,1.552GiB
1766675181.2402308,208.58%,1.638GiB
1766675183.2422888,204.91%,1.721GiB
1766675185.244996,208.45%,1.784GiB
1766675187.2566028,207.42%,1.847GiB
1766675189.272356,202.46%,1.89GiB
1766675191.273376,208.43%,1.941GiB
1766675193.281636,215.58%,2.007GiB
1766675195.28922,202.53%,2.104GiB
1766675197.298559,210.97%,2.145GiB
1766675199.314293,203.47%,2.167GiB
1766675201.3157089,207.87%,2.343GiB
1766675203.3542368,208.48%,2.531GiB
1766675205.3486788,209.99%,2.513GiB
1766675207.351785,284.88%,2.513GiB
1766675209.464946,205.32%,2.513GiB
1766675211.477113,205.20%,2.513GiB
1766675213.48998,207.47%,2.519GiB
1766675215.49735,203.79%,2.521GiB
1766675217.5064058,206.54%,2.521GiB
1766675219.519253,202.92%,2.521GiB
1766675221.5238469,207.72%,2.521GiB
1766675223.5353758,204.93%,2.562GiB
1766675225.544266,202.49%,2.793GiB
1766675227.554116,202.06%,2.86GiB
1766675229.5639098,203.59%,2.953GiB
1766675231.568724,210.41%,3.057GiB
1766675233.62304,226.73%,3.142GiB
1766675235.584262,201.85%,3.161GiB
1766675237.593631,202.75%,3.173GiB
1766675239.6060312,104.88%,2.846GiB
1766675241.636105,124.51%,2.858GiB
1766675243.6312451,191.49%,2.874GiB
1766675245.696057,101.57%,2.923GiB
1766675247.704059,103.10%,2.989GiB
1766675249.7486,102.41%,3.046GiB
1766675251.7495492,110.78%,3.096GiB
1766675253.7572858,101.49%,3.165GiB
1766675255.759115,102.92%,3.213GiB
1766675257.773547,101.55%,3.272GiB
1766675259.771189,103.78%,3.389GiB
1766675261.832273,129.50%,3.078GiB
1766675263.841229,131.30%,2.856GiB
1766675265.857524,440.25%,2.999GiB
1766675267.933284,452.48%,3.038GiB
1766675269.871319,451.35%,3.006GiB
1766675271.932179,423.48%,3.047GiB
1766675273.950814,444.93%,3.076GiB
1766675275.9524338,415.50%,3.066GiB
1766675277.9713469,449.36%,3.058GiB
1766675280.0270789,409.35%,2.782GiB
