Timestamp,CPU,Memory
1766676976.4439008,0.15%,110.1MiB
1766676978.989372,40.05%,140.9MiB
1766676980.984632,42.35%,212.9MiB
1766676983.0255349,40.62%,280.9MiB
1766676985.036101,37.14%,348.4MiB
1766676987.050295,43.24%,412.5MiB
1766676989.0619211,40.49%,483.3MiB
1766676991.088526,42.09%,557.2MiB
1766676993.0757172,43.39%,617.7MiB
1766676995.0812218,39.86%,682.1MiB
1766676997.090627,46.15%,749.5MiB
1766676999.101456,50.69%,819.6MiB
1766677001.103601,62.16%,889.1MiB
1766677003.112941,62.87%,954.4MiB
1766677005.121683,56.03%,1019MiB
1766677007.124641,53.09%,1.058GiB
1766677009.2092311,81.01%,1.12GiB
1766677011.1957078,49.12%,1.178GiB
1766677013.2077591,54.47%,1.22GiB
1766677015.225452,41.11%,1.262GiB
1766677017.2276769,48.61%,1.307GiB
1766677019.234876,47.58%,1.351GiB
1766677021.2363489,51.85%,1.392GiB
1766677023.2443361,51.18%,1.436GiB
1766677025.254533,54.35%,1.482GiB
1766677027.258977,61.43%,1.539GiB
1766677029.271994,40.96%,1.552GiB
1766677031.2816472,202.72%,1.654GiB
1766677033.304163,206.26%,1.741GiB
1766677035.303249,204.73%,1.808GiB
1766677037.306299,202.78%,1.871GiB
1766677039.323596,214.49%,1.917GiB
1766677041.324794,204.34%,1.985GiB
1766677043.331347,208.43%,2.098GiB
1766677045.342026,203.46%,2.145GiB
1766677047.345362,201.63%,2.168GiB
1766677049.352164,207.89%,2.376GiB
1766677051.36247,200.36%,2.502GiB
1766677053.375781,209.17%,2.512GiB
1766677055.379406,204.80%,2.512GiB
1766677057.3848572,203.07%,2.513GiB
1766677059.4085069,204.40%,2.514GiB
1766677061.406931,204.95%,2.515GiB
1766677063.424639,205.72%,2.515GiB
1766677065.447359,247.62%,2.523GiB
1766677067.44743,203.04%,2.519GiB
1766677069.457618,203.23%,2.522GiB
1766677071.46815,205.03%,2.782GiB
1766677073.476009,207.58%,2.857GiB
1766677075.4822578,204.36%,2.955GiB
1766677077.4942908,206.65%,3.071GiB
1766677079.497055,203.59%,3.145GiB
1766677081.502558,205.68%,3.163GiB
1766677083.518665,179.22%,2.843GiB
1766677085.529398,111.18%,2.882GiB
1766677087.593104,103.72%,2.896GiB
1766677089.593908,106.20%,2.969GiB
1766677091.60687,102.40%,3.04GiB
1766677093.6133828,103.73%,3.097GiB
1766677095.6189702,101.17%,3.167GiB
1766677097.6208909,101.78%,3.224GiB
1766677099.6296499,107.42%,3.35GiB
1766677101.66526,101.60%,3.077GiB
1766677103.687236,158.48%,2.862GiB
1766677105.691763,449.88%,3.003GiB
1766677107.721153,447.48%,3.031GiB
1766677109.735081,434.30%,3.072GiB
1766677111.741847,431.33%,3.037GiB
1766677113.7637172,424.62%,3.044GiB
1766677115.754221,421.54%,3.055GiB
1766677117.814699,427.74%,3.095GiB
