Timestamp,CPU,Memory
1766490082.533687,1.10%,4.447GiB
1766490085.056812,3.57%,4.448GiB
1766490087.062294,308.75%,4.489GiB
1766490089.129531,184.09%,4.494GiB
1766490091.110424,311.39%,4.515GiB
1766490093.116965,124.11%,4.529GiB
1766490095.128354,136.19%,4.535GiB
1766490097.130191,189.56%,4.529GiB
1766490099.1353002,171.63%,4.536GiB
1766490101.139224,109.02%,4.542GiB
1766490103.1479309,97.57%,4.543GiB
1766490105.1488152,125.39%,4.545GiB
1766490107.152085,186.01%,4.546GiB
1766490109.168876,140.60%,4.55GiB
1766490111.1761038,96.95%,4.55GiB
1766490113.180264,95.35%,4.554GiB
1766490115.183421,93.23%,4.557GiB
1766490117.186848,130.11%,4.56GiB
1766490119.195669,100.74%,4.561GiB
1766490121.201086,124.23%,4.564GiB
1766490123.2103848,128.69%,4.567GiB
1766490125.217619,169.31%,4.569GiB
1766490127.220522,204.62%,4.571GiB
1766490129.2242932,188.20%,4.577GiB
1766490131.227038,152.86%,4.579GiB
1766490133.235181,115.85%,4.58GiB
1766490135.236824,99.08%,4.581GiB
1766490137.239991,70.53%,4.582GiB
1766490139.248245,190.89%,4.583GiB
1766490141.259169,166.93%,4.586GiB
1766490143.263992,130.12%,4.589GiB
1766490145.2684438,89.48%,4.587GiB
1766490147.2702742,90.83%,4.575GiB
1766490149.283218,168.03%,4.576GiB
1766490151.292553,155.91%,4.578GiB
1766490153.292279,104.04%,4.58GiB
1766490155.2994041,106.49%,4.583GiB
1766490157.3102112,95.33%,4.584GiB
1766490159.311648,95.24%,4.587GiB
1766490161.320245,136.30%,4.59GiB
1766490163.32698,162.92%,4.591GiB
1766490165.330282,198.19%,4.594GiB
1766490167.331222,130.86%,4.595GiB
1766490169.343717,273.19%,4.598GiB
1766490171.34551,153.95%,4.597GiB
1766490173.348067,117.57%,4.598GiB
1766490175.3505259,89.83%,4.599GiB
1766490177.3572109,98.55%,4.602GiB
1766490179.366094,175.05%,4.603GiB
1766490181.3695989,107.85%,4.606GiB
1766490183.376534,89.53%,4.608GiB
1766490185.3799949,122.32%,4.61GiB
1766490187.3827572,166.81%,4.612GiB
1766490189.3965461,193.35%,4.616GiB
1766490191.39942,140.03%,4.617GiB
1766490193.4146261,149.99%,4.618GiB
1766490195.419721,135.42%,4.608GiB
1766490197.4352589,153.53%,4.61GiB
1766490199.442442,105.79%,4.611GiB
1766490201.448181,119.73%,4.635GiB
1766490203.4579682,103.40%,4.64GiB
1766490205.466125,102.59%,4.643GiB
1766490207.467649,100.20%,4.662GiB
1766490209.478542,119.64%,4.704GiB
1766490211.482762,111.03%,4.707GiB
1766490213.4911811,100.20%,4.709GiB
1766490215.496822,100.79%,4.736GiB
1766490217.500003,103.43%,5.002GiB
1766490219.5220401,187.79%,4.625GiB
1766490221.522631,409.48%,4.64GiB
1766490223.526154,299.59%,4.646GiB
1766490225.535465,201.04%,4.65GiB
1766490227.539354,158.69%,4.672GiB
1766490229.5444548,99.94%,4.674GiB
1766490231.556013,68.71%,4.675GiB
1766490233.557434,178.96%,4.68GiB
1766490235.568866,159.01%,4.681GiB
1766490237.572769,151.40%,4.68GiB
1766490239.579089,250.82%,4.681GiB
1766490241.581867,233.78%,4.681GiB
1766490243.589331,234.49%,4.681GiB
1766490245.588663,188.81%,4.682GiB
1766490247.60578,173.07%,4.682GiB
1766490249.6126878,122.58%,4.682GiB
