Timestamp,CPU,Memory
1766490365.170906,0.13%,88.72MiB
1766490367.690913,3.24%,88.74MiB
1766490369.6989791,39.75%,169.2MiB
1766490371.719528,36.55%,250.2MiB
1766490373.723149,32.85%,330.1MiB
1766490375.7312472,35.24%,411MiB
1766490377.734943,35.57%,491.4MiB
1766490379.747039,34.71%,572.3MiB
1766490381.763286,39.82%,664.7MiB
1766490383.764083,44.95%,737.6MiB
1766490385.798528,43.51%,821.2MiB
1766490387.782888,54.14%,904.2MiB
1766490389.8069289,43.96%,985.1MiB
1766490391.814288,50.26%,1.04GiB
1766490393.818298,54.08%,1.116GiB
1766490395.826,200.32%,1.211GiB
1766490397.8372521,207.92%,1.293GiB
1766490399.853672,200.15%,1.355GiB
1766490401.864017,200.20%,1.413GiB
1766490403.8673432,199.78%,1.454GiB
1766490405.874005,198.55%,1.526GiB
1766490407.877707,205.45%,1.701GiB
1766490409.886646,199.98%,1.849GiB
1766490411.890168,200.78%,1.85GiB
1766490413.896356,199.79%,1.85GiB
1766490415.902843,199.98%,1.85GiB
1766490417.903855,204.45%,1.851GiB
1766490419.9191759,200.24%,1.851GiB
1766490421.917403,200.19%,1.886GiB
1766490423.926191,200.76%,2.102GiB
1766490425.931375,200.19%,2.076GiB
1766490427.940299,204.54%,2.076GiB
1766490429.9500968,200.30%,2.076GiB
1766490431.952862,200.04%,2.076GiB
1766490433.967115,199.79%,2.256GiB
1766490435.963449,200.15%,2.346GiB
1766490437.965112,206.70%,2.483GiB
1766490439.9806259,199.88%,2.593GiB
1766490441.978046,199.96%,2.61GiB
1766490443.9812522,200.09%,2.617GiB
1766490445.9884212,100.78%,2.372GiB
1766490448.0119739,142.28%,2.11GiB
1766490450.012204,258.65%,2.112GiB
1766490452.016381,269.10%,2.126GiB
1766490454.023801,263.23%,2.113GiB
1766490456.029264,262.67%,2.115GiB
1766490458.0326452,265.74%,2.116GiB
1766490460.0378509,263.13%,2.112GiB
1766490462.0457861,258.83%,2.116GiB
1766490464.047817,259.35%,2.113GiB
1766490466.052078,263.80%,2.117GiB
1766490468.069785,266.35%,2.117GiB
