Timestamp,CPU,Memory
1766489933.2820249,0.09%,88.67MiB
1766489935.7850308,2.84%,88.67MiB
1766489937.784584,37.51%,189.1MiB
1766489939.801153,40.01%,270.1MiB
1766489941.81003,33.40%,350.9MiB
1766489943.815155,39.04%,441.3MiB
1766489945.82061,38.09%,519.9MiB
1766489947.823545,33.70%,602.7MiB
1766489949.8313751,83.47%,671.5MiB
1766489951.848257,50.57%,748.3MiB
1766489953.844108,43.74%,831.7MiB
1766489955.8550851,51.01%,915.1MiB
1766489957.860736,52.27%,998.1MiB
1766489959.8682492,51.81%,1.056GiB
1766489961.876183,37.25%,1.116GiB
1766489963.9003131,199.75%,1.241GiB
1766489965.90319,209.04%,1.304GiB
1766489967.905118,204.38%,1.369GiB
1766489969.921935,200.47%,1.424GiB
1766489971.930371,199.72%,1.47GiB
1766489973.933598,200.21%,1.553GiB
1766489975.938768,203.15%,1.806GiB
1766489977.944999,204.06%,1.849GiB
1766489979.9547431,200.36%,1.85GiB
1766489981.9617422,199.72%,1.85GiB
1766489983.962503,199.09%,1.85GiB
1766489985.96663,202.07%,1.851GiB
1766489987.974406,199.60%,1.852GiB
1766489989.982357,199.79%,1.992GiB
1766489991.985323,200.01%,2.076GiB
1766489993.989984,199.91%,2.076GiB
1766489995.999243,203.41%,2.076GiB
1766489998.004535,200.56%,2.077GiB
1766490000.017612,200.21%,2.076GiB
1766490002.018909,200.33%,2.255GiB
1766490004.018535,200.27%,2.392GiB
1766490006.027471,202.94%,2.529GiB
1766490008.034731,200.45%,2.599GiB
1766490010.0489972,200.26%,2.614GiB
1766490012.053393,200.35%,2.618GiB
1766490014.065414,85.60%,2.374GiB
1766490016.071171,353.59%,2.157GiB
1766490018.095041,410.69%,2.157GiB
1766490020.0971751,414.30%,2.155GiB
1766490022.112076,407.97%,2.161GiB
1766490024.1154299,370.76%,2.158GiB
1766490026.1228218,404.77%,2.159GiB
1766490028.1272,402.06%,2.158GiB
1766490030.1372328,403.32%,2.159GiB
1766490032.1406012,402.26%,2.157GiB
1766490034.145885,407.56%,2.163GiB
1766490036.1564999,409.00%,2.164GiB
1766490038.171314,413.02%,2.166GiB
1766490040.166743,405.75%,2.167GiB
1766490042.1899,407.26%,2.163GiB
1766490044.2092118,405.61%,2.168GiB
1766490046.1983402,406.74%,2.168GiB
1766490048.200999,409.01%,2.172GiB
1766490050.213731,404.87%,2.17GiB
1766490052.214844,364.00%,2.168GiB
1766490054.2170439,401.55%,2.167GiB
1766490056.227623,404.18%,2.167GiB
1766490058.228284,403.77%,2.166GiB
1766490060.237092,409.01%,2.164GiB
1766490062.243805,402.69%,2.166GiB
