Timestamp,CPU,Memory
1766678138.2950861,0.10%,110MiB
1766678140.812354,5.43%,110MiB
1766678142.8254342,42.87%,192.2MiB
1766678144.873394,46.01%,254.7MiB
1766678146.884416,44.36%,311.5MiB
1766678148.896362,45.70%,378.6MiB
1766678150.895513,52.87%,440.9MiB
1766678152.9081972,40.04%,503.9MiB
1766678154.915877,41.81%,564.8MiB
1766678156.922279,43.62%,628.9MiB
1766678158.939584,69.20%,682.2MiB
1766678160.937386,69.43%,736.2MiB
1766678162.9464588,128.47%,780.4MiB
1766678165.524682,69.77%,823.2MiB
1766678167.524052,59.65%,885.7MiB
1766678169.531167,75.01%,943.3MiB
1766678171.537282,73.31%,998.5MiB
1766678173.598531,57.31%,1.028GiB
1766678175.6170921,80.63%,1.089GiB
1766678177.625273,73.37%,1.151GiB
1766678179.626067,42.34%,1.199GiB
1766678181.641803,81.29%,1.239GiB
1766678183.6698802,60.64%,1.274GiB
1766678185.6721761,56.02%,1.314GiB
1766678187.6779132,84.81%,1.352GiB
1766678189.6806111,157.86%,1.384GiB
1766678191.6944818,67.57%,1.422GiB
1766678193.704333,70.73%,1.455GiB
1766678195.724737,95.19%,1.483GiB
1766678197.78351,62.29%,1.517GiB
1766678199.779265,67.49%,1.55GiB
1766678201.8132548,169.07%,1.624GiB
1766678203.867362,209.27%,1.71GiB
1766678205.882154,209.51%,1.772GiB
1766678207.9134688,208.00%,1.839GiB
1766678209.906646,203.39%,1.885GiB
1766678211.933156,210.08%,1.941GiB
1766678213.931131,204.79%,2.013GiB
1766678215.97926,210.81%,2.259GiB
1766678217.9792268,203.66%,2.3GiB
1766678219.9777422,203.66%,2.3GiB
1766678221.991752,208.09%,2.301GiB
1766678224.0145888,205.41%,2.302GiB
1766678226.0282428,205.35%,2.303GiB
1766678228.044445,247.15%,2.31GiB
1766678230.056303,208.64%,2.374GiB
1766678232.0572119,211.60%,2.559GiB
1766678234.074774,206.51%,2.547GiB
1766678236.082064,204.61%,2.547GiB
1766678238.094114,204.24%,2.548GiB
1766678240.09618,207.52%,2.548GiB
1766678242.0994408,209.09%,2.548GiB
1766678244.1160011,204.58%,2.55GiB
1766678246.122271,228.17%,2.766GiB
1766678248.128149,246.31%,2.815GiB
1766678250.132586,235.03%,2.916GiB
1766678252.486348,206.63%,3.027GiB
1766678254.4949062,208.32%,3.098GiB
1766678256.504786,204.86%,3.113GiB
1766678258.515751,207.51%,3.132GiB
1766678260.5190861,167.18%,2.873GiB
1766678262.534059,113.55%,2.892GiB
1766678264.559191,112.51%,2.92GiB
1766678266.560052,101.59%,2.993GiB
1766678268.575349,103.50%,3.063GiB
1766678270.578849,104.88%,3.112GiB
1766678272.595668,107.09%,3.18GiB
1766678274.602298,101.97%,3.225GiB
1766678276.608914,100.87%,3.265GiB
1766678278.632135,107.83%,3.385GiB
1766678280.6409311,111.90%,3.109GiB
1766678282.661184,185.01%,2.875GiB
1766678284.669578,488.43%,2.918GiB
1766678286.7017128,430.71%,2.91GiB
1766678288.7104928,412.74%,2.9GiB
1766678290.712685,432.38%,2.92GiB
1766678292.7202299,406.20%,2.907GiB
1766678294.7692401,420.44%,2.924GiB
1766678296.782679,437.71%,2.935GiB
1766678298.7941608,418.27%,2.927GiB
1766678300.78795,434.28%,2.931GiB
1766678302.802418,408.35%,2.926GiB
1766678304.81038,422.64%,2.927GiB
1766678306.81233,422.84%,2.917GiB
1766678308.818337,415.01%,2.927GiB
1766678310.822073,421.52%,2.919GiB
1766678312.835287,432.59%,2.921GiB
1766678314.843303,416.20%,2.918GiB
