Timestamp,CPU,Memory
1766446511.250189,0.26%,81.89MiB
1766446513.78096,3.74%,81.9MiB
1766446515.783715,33.32%,169.6MiB
1766446517.795705,34.88%,249.6MiB
1766446519.801504,37.48%,333.5MiB
1766446521.8031092,34.34%,414.5MiB
1766446523.807725,38.76%,500MiB
1766446525.8183281,25.56%,573MiB
1766446527.828625,41.01%,652.7MiB
1766446529.853347,45.66%,730.8MiB
1766446531.852984,45.78%,814.6MiB
1766446533.86358,43.52%,897.8MiB
1766446535.865549,52.88%,981.3MiB
1766446537.883337,55.08%,1.029GiB
1766446539.880498,63.11%,1.129GiB
1766446541.887393,200.05%,1.25GiB
1766446543.890659,202.65%,1.312GiB
1766446545.902036,201.94%,1.382GiB
1766446547.902642,200.22%,1.428GiB
1766446549.9085782,199.52%,1.485GiB
1766446551.915273,199.86%,1.604GiB
1766446553.9221919,201.76%,1.884GiB
1766446555.9283772,203.44%,1.843GiB
1766446557.937006,201.17%,1.843GiB
1766446559.9450471,200.35%,1.844GiB
1766446561.951804,199.49%,1.845GiB
1766446563.9535098,202.49%,1.844GiB
1766446565.9598122,202.72%,1.846GiB
1766446567.965549,199.88%,2.041GiB
1766446569.9739552,199.49%,2.069GiB
1766446571.979033,199.52%,2.069GiB
1766446573.9843462,203.63%,2.07GiB
1766446575.99001,205.13%,2.07GiB
1766446578.00112,199.99%,2.07GiB
1766446580.0073159,199.23%,2.265GiB
1766446582.016185,200.17%,2.342GiB
1766446584.023176,204.56%,2.478GiB
1766446586.031508,203.39%,2.587GiB
1766446588.03677,199.97%,2.602GiB
1766446590.046997,199.97%,2.61GiB
1766446592.0527282,100.59%,2.364GiB
1766446594.066918,91.62%,2.178GiB
